TranID,Time,Price,Volume,SaleOrderVolume,BuyOrderVolume,Type,SaleOrderID,SaleOrderPrice,BuyOrderID,BuyOrderPrice
172291,09:25:00,7.84,1900,2500,1900,S,162351,7.84,86382,7.84
172292,09:25:00,7.84,600,2500,600,S,162351,7.84,139236,7.84
219201,09:30:00,7.85,100,500,100,S,219200,7.85,180733,7.85
257453,09:30:02,7.85,400,500,400,B,219200,7.85,257452,7.85
263805,09:30:02,7.85,300,300,2600,B,229936,7.85,263804,7.85
263806,09:30:02,7.85,1000,1000,2600,B,255489,7.85,263804,7.85
277477,09:30:04,7.86,900,900,2000,B,156912,7.86,277476,7.86
277478,09:30:04,7.86,1100,2700,2000,B,259365,7.86,277476,7.86
281241,09:30:05,7.86,500,2700,500,B,259365,7.86,281240,7.86
282476,09:30:05,7.86,100,2700,100,B,259365,7.86,282475,7.86
282582,09:30:05,7.86,200,2700,200,B,259365,7.86,282581,7.86
282606,09:30:05,7.86,500,2700,500,B,259365,7.86,282605,7.86
285192,09:30:07,7.85,1300,2500,2600,S,285191,7.85,263804,7.85
291100,09:30:11,7.85,1200,2500,1500,B,285191,7.85,291099,7.86
291101,09:30:11,7.86,300,2700,1500,B,259365,7.86,291099,7.86
305959,09:30:24,7.87,600,1100,600,B,14424,7.87,305958,7.87
307846,09:30:26,7.86,1500,1500,9500,S,307845,7.86,292262,7.86
309712,09:30:27,7.87,500,1100,600,B,14424,7.87,309711,7.87
309713,09:30:27,7.87,100,1500,600,B,91245,7.87,309711,7.87
311073,09:30:28,7.86,7400,14000,9500,S,311072,7.86,292262,7.86
313906,09:30:30,7.86,600,14000,600,B,311072,7.86,313905,7.86
316835,09:30:32,7.86,500,14000,500,B,311072,7.86,316834,7.86
317856,09:30:33,7.86,500,14000,500,B,311072,7.86,317855,7.86
323293,09:30:37,7.86,5000,14000,7600,B,311072,7.86,323292,7.87
323294,09:30:37,7.87,1400,1500,7600,B,91245,7.87,323292,7.87
323295,09:30:37,7.87,700,700,7600,B,226354,7.87,323292,7.87
323296,09:30:37,7.87,500,700,7600,B,237661,7.87,323292,7.87
296293,09:30:16,7.86,600,600,9500,S,296292,7.86,292262,7.86
353011,09:30:59,7.87,300,1800,300,B,310229,7.87,353010,7.87
354688,09:31:00,7.87,300,1800,300,B,310229,7.87,354687,7.87
355223,09:31:01,7.87,100,1800,100,B,310229,7.87,355222,7.87
357887,09:31:03,7.87,900,1800,1500,B,310229,7.87,357886,7.87
357888,09:31:03,7.87,600,900,1500,B,321620,7.87,357886,7.87
358476,09:31:03,7.87,300,900,400,B,321620,7.87,358475,7.87
358477,09:31:03,7.87,100,10000,400,B,354681,7.87,358475,7.87
366133,09:31:09,7.87,3500,10000,3500,B,354681,7.87,366132,7.87
371900,09:31:12,7.87,300,10000,300,B,354681,7.87,371899,7.87
372924,09:31:13,7.87,3200,10000,3200,B,354681,7.87,372923,7.87
377723,09:31:17,7.87,300,10000,300,B,354681,7.87,377722,7.87
380365,09:31:18,7.87,500,10000,500,B,354681,7.87,380364,7.87
383963,09:31:21,7.87,500,10000,500,B,354681,7.87,383962,7.87
387169,09:31:23,7.86,500,5300,500,S,387168,7.86,339481,7.86
387170,09:31:23,7.86,300,5300,300,S,387168,7.86,342093,7.86
350259,09:30:57,7.87,200,700,400,B,237661,7.87,350258,7.87
350260,09:30:57,7.87,200,1800,400,B,310229,7.87,350258,7.87
399583,09:31:32,7.86,100,5300,100,B,387168,7.86,399582,7.86
402857,09:31:34,7.85,900,900,1000,S,402856,7.85,401686,7.85
421343,09:31:47,7.86,4400,5300,4400,B,387168,7.86,421342,7.86
437226,09:31:57,7.87,600,10000,600,B,354681,7.87,437225,7.87
437831,09:31:58,7.87,1000,10000,1200,B,354681,7.87,437830,7.87
