TranID,Time,Price,Volume,SaleOrderVolume,BuyOrderVolume,Type,SaleOrderID,SaleOrderPrice,BuyOrderID,BuyOrderPrice
144793,09:25:00,7.53,200,200,200,B,59920,7.53,83169,7.53
170479,09:30:00,7.55,2000,4600,2000,B,91488,7.55,170478,7.55
225974,09:30:01,7.55,2400,4600,2400,B,91488,7.55,225973,7.55
294831,09:30:11,7.55,200,4600,200,B,91488,7.55,294830,7.55
296592,09:30:12,7.57,100,1900,100,B,224751,7.57,296591,7.57
297586,09:30:12,7.57,100,1900,100,B,224751,7.57,297585,7.57
308194,09:30:19,7.56,2700,2700,2700,B,301017,7.56,308193,7.56
323386,09:30:27,7.57,600,1900,600,B,224751,7.57,323385,7.57
325808,09:30:29,7.55,700,2300,700,S,325807,7.55,301304,7.55
337384,09:30:36,7.55,100,2300,100,B,325807,7.55,337383,7.55
337704,09:30:36,7.55,100,2300,100,B,325807,7.55,337703,7.55
352542,09:30:44,7.55,1400,2300,10300,B,325807,7.55,352541,7.56
366569,09:30:52,7.56,8900,12600,10300,S,366568,7.56,352541,7.56
372820,09:30:56,7.56,2100,12600,2100,B,366568,7.56,372819,7.56
385010,09:31:03,7.56,1600,12600,2200,B,366568,7.56,385009,7.56
387203,09:31:04,7.56,600,1100,2200,S,387202,7.56,385009,7.56
414664,09:31:20,7.56,500,1100,6600,B,387202,7.56,414663,7.57
414665,09:31:20,7.56,700,700,6600,B,403931,7.56,414663,7.57
414666,09:31:20,7.56,400,400,6600,B,408415,7.56,414663,7.57
414667,09:31:20,7.56,600,600,6600,B,408835,7.56,414663,7.57
414668,09:31:20,7.57,1100,1900,6600,B,224751,7.57,414663,7.57
414669,09:31:20,7.57,3000,3000,6600,B,272227,7.57,414663,7.57
414670,09:31:20,7.57,300,1600,6600,B,341854,7.57,414663,7.57
419459,09:31:23,7.57,1300,1600,10000,B,341854,7.57,419458,7.57
429102,09:31:28,7.57,2200,2200,10000,S,429101,7.57,419458,7.57
